from,to,cost
0,1,0.1
0,2,1.3
0,3,0.08
0,4,0.07
0,5,0.06
0,6,0.26
0,7,0.09
0,8,0.19
1,0,0.1
1,2,1.01
1,3,0.04
1,4,0.23
1,5,0.24
1,6,0.16
1,7,0.15
1,8,0.05
2,0,1.3
2,1,1.01
2,3,1.02
2,4,1.28
2,5,1.37
2,6,0.98
2,7,1.22
2,8,0.79
3,0,0.08
3,1,0.04
3,2,1.02
3,4,0.14
3,5,0.18
3,6,0.15
3,7,0.11
3,8,0.08
4,0,0.07
4,1,0.23
4,2,1.28
4,3,0.14
4,5,0.07
4,6,0.37
4,7,0.11
4,8,0.31
5,0,0.06
5,1,0.24
5,2,1.37
5,3,0.18
5,4,0.07
5,6,0.37
5,7,0.13
5,8,0.34
6,0,0.26
6,1,0.16
6,2,0.98
6,3,0.15
6,4,0.37
6,5,0.37
6,7,0.28
6,8,0.22
7,0,0.09
7,1,0.15
7,2,1.22
7,3,0.11
7,4,0.11
7,5,0.13
7,6,0.28
7,8,0.24
8,0,0.19
8,1,0.05
8,2,0.79
8,3,0.08
8,4,0.31
8,5,0.34
8,6,0.22
8,7,0.24
